,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506
People,,,,,,,,,,,,,,,,,,11
Shifts,,,,,,,,,,,,,,,,,,100
MinShifts,,,,,,,,,,,,,,,,,,5
Cost(Random) - Seed: 0 - k_max: 10 - max_iter10,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 10 - max_iter10,,,,,,,,,,,,,,,,,,47
Duration - Seed: 0 - k_max: 10 - max_iter10,,,,,,,,,,,,,,,,,,0.08705663681030273
Cost(Greed),,,,,,,,,,,,,,,,,,43
Cost(VNS_G) - Seed: 0 - k_max: 10 - max_iter10,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 10 - max_iter20,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 10 - max_iter20,,,,,,,,,,,,,,,,,,47
Duration - Seed: 0 - k_max: 10 - max_iter20,,,,,,,,,,,,,,,,,,0.09270119667053223
Cost(VNS_G) - Seed: 0 - k_max: 10 - max_iter20,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 10 - max_iter50,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 10 - max_iter50,,,,,,,,,,,,,,,,,,47
Duration - Seed: 0 - k_max: 10 - max_iter50,,,,,,,,,,,,,,,,,,0.08763313293457031
Cost(VNS_G) - Seed: 0 - k_max: 10 - max_iter50,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 10 - max_iter100,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 10 - max_iter100,,,,,,,,,,,,,,,,,,47
Duration - Seed: 0 - k_max: 10 - max_iter100,,,,,,,,,,,,,,,,,,0.08647632598876953
Cost(VNS_G) - Seed: 0 - k_max: 10 - max_iter100,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 20 - max_iter10,,,,,,,,,,,,,,,,,,56
Cost(VNS_R) - Seed: 0 - k_max: 20 - max_iter10,,,,,,,,,,,,,,,,,,46
Duration - Seed: 0 - k_max: 20 - max_iter10,,,,,,,,,,,,,,,,,,0.22599101066589355
Cost(VNS_G) - Seed: 0 - k_max: 20 - max_iter10,,,,,,,,,,,,,,,,,,43
Cost(Random) - Seed: 0 - k_max: 20 - max_iter20,,,,,,,,,,,,,,,,,,56
